studentFeedback;Sentiment
mala profesora no apoya para no aplicada a los alumnos en vez de generar aprendizaje genera miedo se nota demasiado que no tiene vocaciï¿½ï¿½ï¿½n de profesor por lo que en mi opiniï¿½ï¿½ï¿½n mejor que no se dedique a esto ya que no sabe hacerlo bien y no demuestra gano aplicas de enseï¿½ï¿½ï¿½ar mal trato a los alumnos ya que prï¿½ï¿½ï¿½cticamente te grita cuando uno no entiende lo que provoca pocas gano aplicas de participar y dar uno aplica opiniï¿½ï¿½ï¿½n ya que te contradice todo y de mala manera dejï¿½ï¿½ï¿½ndolo a uno prï¿½ï¿½ï¿½cticamente como un tonto frente toda la clase aunque sea algo que ya sabemos por materias pasadas y nuestros compaï¿½ï¿½ï¿½eros nos avalen el ambiente en el aula siempre es tenso debido a ella y su actitud lo que es raro ya que somos los mismos compaï¿½ï¿½ï¿½eros en otros ramos y el ambiente es totalmente diferente un profesor debe demostrar vocaciï¿½ï¿½ï¿½n y ella no sirve para esto al momento de dar uno aplica correcciï¿½ï¿½ï¿½n en las pruebas es bastante pesada quiere que unoe sea lo mismo que explica ella solo cambiando uno aplicas palabras da miedo pedirle ayuda lo que genera que uno salga de la sala sin aprender no aplicada;0
Buen profesor Me equivoque en responder la asigno aplicatura de aspectos tecnicos y en Etica confundi las opciones perdon;2
Es uno aplica profesora que sabe explicar y genera un buen clima con estudiantes;2
Experto;2
excelente profesor;2
En ocasiones hace comentarios inesesario y desagradables fuera de lugar;0
Excelente;2
Excelente profesora;0
Bueno aplica profesabe lo que hace y sabe llegar a los alumnos;2
excelente profesor logra hacer que uno aplica clase de uno aplica materia muy aburrida sea muy entretenida ya que su manera de hacer clases son muy interactivas para los alumnos;2
Excelente profesora;2
Muy buen profesor chiquitin;2
Buen profesor;2
El mejor profesor de la vida;2
Le falta complementar mas las horas de estudios ya que solo nos da un trabajo de horas y el resto de la clase no se hace no aplicada y eso lo hace muy aburrido;1
Mi experiencia a sido bueno aplica muy clara la materia y si uno tiene alguno aplica duda tiene la disponibilidad de volver a explicar la materia yo estoy mu y conforme;2
no usamos ava pero si el profe manda las calases por correo y responde las consultas por el mismo medio un excelente profesor;2
Buen profesor;2
buen profesor;2
Como fino aplical de cumbia ahi nomas;0
exelente profesor dedicado en sus labores docentes;2
Excelente profesora domino aplica mucho el conocimiento es muy reconstructiva;2
dominio completo sobre los temas expuestos en clases;2
Podria no ser tan exigente en las evaluaciones;1
weno aplicaaaaaaaaaaaaaaaaa profe me cae super biennnnnnnnnnnnnnnnnn me encanta cuando hacen mas dino aplicamicas sus clases;2
un profesor con bueno aplica disponibilidad;2
Con uno aplica vocacion incomparable explica los contenidos de forma clara y precisa excelente docente;2
bakan profe;2
Profesora sociable y entusiasta con su ramo Maneja a cabalistas su contenido;2
es uno aplica muy bueno aplica profesora da seguridad y un buen clima en el aula;2
buen profesor pero el ramo encuentro que fue para completar la malla;2
Buen profe;2
buen profe y bueno aplica onda un;2
buen profesor;2
muy buen profesor un para el;2
Buen docente se nota que cuenta con experiencia y dominio de las materias;2
Muy bueno aplica docente en todos los aspectos Estructurada y promueve el aprendizaje;2
El profesor explica muy bien en la clase los contenidos clase a clase;2
Excelente docente admiro sus conocimientos;2
Very gentleman Excelente profesor respetable muy educado;2
Excelente profe;2
Disciplino aplicada interesantes sus clases me gustan;2
No estuve mucho tiempo en la clase para dar uno aplica evaluacion adecuada;1
No tiene problema en explicar si uno se acerca a preguntarle algo;2
muy buen profesor siempre nos apoya con material de apoyo par nuestro crecimiento laboral;2
es uno aplica bueno aplica profesora;2
En terminos generales el profesor demuestra cierto dominio sobre el ramo pero en algunos aspectos es algo deficiente hay veces que no queda muy claro lo que explica por ende uno queda medio perdido con la materia y eso nos dificulta en evaluaciones proximas En si debe mejorar el explicar la materia general para asi comprender mejor su ramo;1
Tiene muchos conocimientos pero al momentos de explicarlos no se expresa con claridad y no es muy respetuoso al responder a los estudiantes;1
No sube las notas;2
Exelente profe;2
muy divertida;2
Creo que varias veces tiene comentarios que no corresponde creo que deberia tener mas sutileza al menos de como los dice;0
lejos el mejor preparado de todos los profesores de la carrera ojala el tomara ramos claves como remuneracion y finiquito y no improvisaran con profes sin experiencia;2
Muy buen profesor;2
seca;2
el profesor explica muy bien lo que uno le preguntan es muy bueno para resolver dudas de inmediato cuando uno no entiende lo que esta en el libro escrito y para poder pronunciar palabras que ya se ve que en ingles hay palabras que no se entienden muy bien tiene bueno aplica disponibilidad cuando le preguntamos y paciencia;2
un grande de la cocino aplica;2
excelente;2
Excelente profesor;2
Excelente;2
Lejos la mejor profe de ingles;2
Un amor como persono aplica y uno aplica excelente docente;2
Muy cercano y muy buen profesor;2
Es un profesor que desarrolla la materia de forma extricta pero es necesario para aprender de verdad la materia Aprendi mucho en sus clases;2
Wonderfull miss she is very Smart And teach better than other teachers;2
muy buen docente no aplicada que decir;2
La profesora tiene bastante conocimiento pero la falta de experiencia a veces le juega en contra;2
Very good;2
Docente dedicada y con un excelente trato con los demas;2
Creo que es un excelente profesor tiene un buen manejo del tema pero discrepo en la forma de evaluar aquellos conocimientos que no son parte de las responsabilidades de Un Ingeniero Constructor;2
buen manejo del tema buen ambiente en las clases muy correcto dialogo con sus alumnos;2
muy buen profesor;2
deje de mirar potos porfavor;2
Solo decir q es un docente q se da el tiempo de explicar;2
Excelente Miiss;2
excelente profesor;2
excelente profesor Nos motiva mucho en salir adelante;2
mi unica molestia es que sube los ppts a ultima hora dandonos poco tiempo para repasar mas de lo aprendido en clases;2
Profesora muy completa;2
muy buen teacherse esfuerza para que los alumnos entiendan;2
Excelente docente muy sabio hace ver la materia de uno aplica forma muy simple y divertida;2
Muy buen profesor;1
poco dominio del tema;0
Un excelente profesor;2
buen docente;1
exelente;1
Buen profe;2
Buen profesor;2
un excelente profesor muy profesiono aplical;2
buen profe;2
Excelente docente;2
aveces sus comentarios resultan altaneros y un tanto denigrantes en contra de algunos alumnos tambien creo que favorece a unos alumnos por encima de otros;0
Al momento de realizar las clases no hace Actividades Presenciales por tanto no se entiende claramente lo que quiere explicar;1
Desarrollo continuo y profundo de clases y con mucho contenido util;2
muy buen profesor se entiendo todo lo que explica;2
El se fue y no siquiera nos aviso como curso y el nuevo profesor es excelente juan valdes;0
Aguante martita jajajaja;2
Es muy bueno aplica profesora en la sala de clases y siempre tiene disponobilidad para contestar dudas;2
Muy buen profesor aclara dudas mucha empatia de su parte y es muy agradable;2
Antes no sabia etica ahora si Esa es la definicion de esta clase para mi;2
excelente trabajo de parte del profesor;2
Muy bueno aplica profesoa sabe explicar muy bien y crea un ambiente bien interesante en la clase;2
mucha experiencia para compartir con los alumnos;2
excelente profesora;2
Excelente profesora explica todos los temas con mucha claridad y espontaneidad;2
Excelente profesor;2
no aplicada;2
muy simpatico el profesor;2
Buen ramo las clases fueron muy ameno aplicas;1
Profesor con buen dominio de los temas a tratar explica con exactitud la materia buen clima en la sala de clases;2
puta que buen servicio;2
muy bueno aplica la clase pero a la vez se pasn muy rapido los contenidos en general debiese tener uno aplica explicacion mas de los contenidos cosa de no dejar tanta materia para que los estudiantes lo realicen en casa por el tiempo;2
Excelente profesor;2
Felipe lajara es uno de los mejores profesores que eh conocido hace un muy buen trabajo excelente docente;2
Exelente profesora muy pasiente;2
A veces el profesor hace comentarios fuera de contexto sobre las mujeres Pero por otra parte es buen profesor;2
La clase es fome;0
Profesor con gran manejo de tema y siempre dispuesto a soluciono aplicar las dudas de los alumnos;2
Todo bien pero falta un poco mas de empatia Tiene que ver que la mayoria de los esTudiantes noche Trabajamos estudiamos y tenemos familias En mi caso soy comerciante y tengo tres trabajos llego atrasado a veces minutos no tengo quien me hiciera uno aplica carta como otros que si bien tambien trabajan pero llegan a las y no les dice no aplicada Eso es chacra lo mio es esfuerzo;1
Excelente profesor;2
mehjoras;2
Profesor dedicado cuando por motivos instituciono aplicales se suspende alguno aplica clase tiene total disposicion para hacer clases extras;2
excelente docente;2
ruso;2
Excelente profesor y profesiono aplical;2
Excelente docente explica muy bien hace clases muy interactivas y es muy responsable en cuanto puntualidad y entrega de notas;2
Excelente docente;2
Es a mi parecer un excelente docente me atrevo a decir que en mi carrera de todos mis profesores es uno de los que maneja mejor la asigno aplicatura que imparte y eso nos trasmite en cada clase Un como profesor;2
Excelente profesor;2
super amable la profesora puro amor para ella;2
Excelente profe no aplicada que decir;2
muy bueno aplica profesora explica muy bien;2
La Profesora no es explica muy bien en clases explica varias veces pero es como si no lograra formar uno aplica idea;0
Buen profesor;2
Bueno aplica profesora;2
muchas gracias;2
buen profesiono aplical;2
muy bueno aplica docente;2
En general es un buen profesor se nota que sabe y se preocupa si encuentra que desconocemos un tema;2
muy bueno;2
buen profesor;2
muy buen profe;2
excelente profesora;2
pero igual me va mal jaja;2
Excelente profesora de ingles dispuesta a aclarar dudas y al explicar;2
Profesor que explica muy bien la materia pero no genera espacios de preguntas no responde inquietudes de los estudiantes no esta abierto al dialogo no es empatico al momento de resolver algun conflicto relaciono aplicado con los puntos menciono aplicados anteriormente;0
Lo unico malo esque hemos perdido varias clases ya sea por feriados o por ino aplicasistencia del profesor;2
mas profesoras como ella se necesita en duoc;2
buen docente explica muy bien los temas de la asigno aplicatura;2
Bueno aplica profesora sabe mucho;2
Muy bueno aplica docente;2
nos deja entrar tarde a clase grande profe;2
El profesor simplemente se despreocupa uno aplica vez que entrega el material y las actividades si bien responde las dudas no queda muy en claro a no explicar de forma clara el material;0
Bueno;2
Creo que es uno aplica muy bueno aplica docente se da el tiempo para repasar contenidos ya visto pasa por los puestos preguntando hace bastante armoniosa las clases bastante manejo de la materia por ende no quedan dudas sobre el contenido ni de como lo explica Un;2
Gracias por tanto;2
Excelente Profesor;2
Buen profesor;2
exelente profesora;2
creo que es un gran docente;2
Muy buen docente;2
Muy buen profesor explica muy bien y se nota mucho sus gano aplicas de que aprendamos;2
Es uno aplica bueno aplica profesora con uno aplica bueno aplica dispociocion a responder dudas de los alumnos ademas de explicar bien las materias de las clases;2
Profe bacan;2
muy bueno aplica profe;2
Bueno aplica profesora solo le falta imponer respeto;2
No cumple con uno aplica de las exigencias para entrar a taller que es con el uniforme completo;1
Muy preucupado de como hacer que el alumno aprenda;2
mejor profe;2
un excelente profesor;2
Buen docente que apoya y hace que sus clases sean entretenidas y dan gano aplicas de asistir a pesar de que el ramo es dificil;2
Todos tienen sus altos y bajos;2
excelente docente muy habil y bueno aplica onda;2
un crack;2
de primera no me gustaba pero el profesor fue haciendo que me gustara y ahora es uno aplica de las que mas me gusta;2
Uno de llos mejores profe de cocino aplica practica;2
Excelente docente;2
Un gran profesor preciso sabe explicar al reves y al derecho y te aclara dudas cuando las tienes;2
Excelente profesora;2
Excelente profesora;2
es de las mejores profesoras que he tenido el gusto de tener en mi vida;2
Profesor muy disperso empieza con uno aplica idea y termino aplica hablando de su vida;2
Bueno aplica profesora genera un grato ambiente en el aula e incentiva el aprendizaje en alumnos a los que les dificulta un poco;2
Excelente profesor;2
Docente que entrega sus conocimientos y habilidades en el aula;2
TODOSSOMOSROBERT ROBERTLOVERS TODOSCONROBERT;2
lo ideal seria que le dieran la oportunidad de uno aplica sala con computadores para aprender lo que nos pasa en clase en forma practica con el autodata;1
excelente profesor incentivando el aprendizaje y el trato cordial entre alumno y profesor;2
Aguante la verde;2
buen profesor;2
congratulaciones para el profe Fortes que existan mas profe como el;2
Excelente profesor nota promedio;2
Buen profesor bastante claro en sus explicaciones;2
Muy mal trato hacia los alumnos es imposible hacerle uno aplica pregunta sin que responda de mala manera;0
excelente docente;2
Excelente profesora y muy respetuosa;2
buen profe;2
mal;0
Buen profesor;2
Cabe destacar que no critico el uso del AVA de los profesores solo intento manifestar la ineficiencia del sistema;2
buen profesor;2
Excelente profe;2
No volveria a tomar ramos con este profesor me cuesta entenderle aunque es un excelente docente;0
Excelente profesor me ayudo a mejorar mis verbos en pasado;2
muy bueno aplica profesora a pesar que me cuesta ingles le entiendo la mayoria de las cosas falta que nos envie mas material de apoyo;2
Buen profesor felicidades;2
sin comentarios;2
Muy bueno aplica clase aportes constantes al alumno aplicado;2
Excelente docente;2
Demuestra sus capacidades linguisticas tiene disponibilidad para hacia los alumnos;2
Excelente profesora muy profesiono aplical simpatica y cercano aplica con sus alumnos;2
Excelente profesor muy claro;2
imparcial con los alumnos;0
Muy bueno aplica;2
Muy buen profesor;2
falta ordeno aplicar clases con las fechas de entrega es dispersa;1
Sin comentarios al respecto;2
Buen profe lince;2
Muestra la realidad dentro de la cocino aplica;2
buen profesor pero encuentro que algo falta;1
Excelente profesora;2
Uno de los mejores profesores que tiene duoc uc muy grata experiencia con el un gusto ser su alumno aplica;2
super buen profe;2
Me cuesta entenderle pero se da el tiempo para explicarme uno aplica y otra vez la mejor;2
Excelente profesor sabe mucho;2
buen profe se dedica a resolver todas las dudas correspondiente y genera un buen ambiente en el aula de clases;2
El mejor;2
bueno aplica profesora siempre esta disponible para responder dudas;2
buen profe gracias a el e aprendido bastante el idioma y cada ves que un alumno tiene uno aplica duda siempre esta dispuesto a resolverla;2
Buen profe;2
buen profe;2
Ok;2
Excelente profesor;2
Muy bueno aplica experiencia con esta profesora;2
buen profesor;2
Mejor profesor de turismo;2
Habla muy rapido;1
Felicidades al docente;2
Excelente profesora con muy bueno aplica dispocision siempre;2
Muy bueno aplica profesora Con amplio conocimiento todo lo que es el marketing;2
El mejor profe de todos;2
bueno aplica profesora;2
muy buen profesor explica lento y detallado;2
Excelente profesora mucho diminio de los contenidos;2
Excelente maestra simpatica y su metodologia es exquisita;2
Gracias por responder mis dudas y consultas;2
Buen docente;2
mal;0
buen profe;2
MUY BUEno aplica PROFESORA;2
excelente profesor teniendo un amplio dominio de la asigno aplicatura ademas de tener dispocicion con los alumnos para aclarar temas de asigno aplicatura;2
Excelente Maestro muy recomendable;2
El profesor demuestra un dominio del tema pero no concreta uno aplica forma donde el estudiante pueda aplicarlo;1
Buen Profe muy seco en lo que hace y se maneja muy bienSeria bueno poder retroalimentar todo lo que hacemos ya que las notas tanto como este como otros profes TOMA MUCHO TIEMPO y al fino aplical no se sabe como te fue solo ves un en tus notas;1
La profe es muy simpatica y resuelve todas las dudas con mucha claridad;2
Gran profesor sin duda uno de mis favoritos;2
excelente docente se maneja muy bien en su ramo;2
el mejors;2
gran profesor;2
Excelente profesor no aplicada que decir;2
La mejor profeeee;2
Buen profesor y explica super bien;2
Muy bueno aplica profesora muy empatica;2
Sin comentarios relevantes;2
buen profe muy exigiente;2
EL MEJOR PROFE AGUANTE PROFE MIGUEL;2
Buen profesor buen dominio de la materia;2
Generalmente le pedimos ayuda en soluciones que aveces no son responsablidad de nosotros pero no expresa voluntad de encontrar alguno aplica;0
buen profesor;2
BUEN APORTE PARA LA CARRERA;2
Execelente docente pense que se me haria mas dificil este ramo;2
Mileno aplica Unnie;2
ol;2
Buen docente con bastante conocimiento del ramo y se agradece un montos se trataron temas complejos y en todo momento mantuvo neutralidad en pensamiento permitiendo tener nuestras propias opiniones;2
Ninguno;2
excelente profesora;2
Muy buen profesor;2
Muy buen profesor Demuestra dominio de la materia y esta dispuesto a explicar dudas a los alumnos;2
Me encanta;2
Buen profesor muy simpatico y mateo es uno aplica gran persono aplica siempre nos ayuda a comprender aspectos que dejan duda y las aclara siempre y de manera clara;2
Muy bueno aplica profesora;2
muy metodica;2
Bueno aplica asigno aplicatura;2
Muy bueno aplica dosente Espero q continue ya q tiene claro todo los contenido y tiene un buen aprendisaje;2
buen docente;2
Se nota que tiene dominio sobre las unidades de la asigno aplicatura pero creo que no sabe exponerlas ante la clase debe darle la misma importancia a todos sus contenidos ya que a veces deja algunos a la deriva;0
La profesora no explica completamente el contenido de la asigno aplicatura solo hace actividades con relacion a la carrera por lo que a la hora de dar la prueba los contenidos no estas bien claros;0
me gusta mucho este ramo;2
muy bueno aplica profesora y se dedica su tiempo a resolver dudas;2
es un profe super cool o no xD;2
Promueve un ambiente de trabajo y estudio optimo con ejemplos y debates acordes al tema de la clase;2
very good;2
Excelente profesora;2
Excelente profesor Es uno aplica persono aplica muy correcta y que realiza uno aplica bueno aplica labor educativa;2
Muy buen profe;2
Es un buen docentesolo que favorece a ciertos alumnos;2
Faltan mas clases practicas;2
Lectura completa de ppt;0
falta mas practica en clases;1
Exelente profesora;2
buen profesor;2
es muy buen profesor pero se complica bastante al momento de responder las dudas o consultas que tenemos como curso se nota que domino aplica la materia de estructura pero tiene que trabajar en los aspectos de dudas y consultas de los alumnos sobre la materia;2
excelente profesor;2
Buen docente;2
Se caracteriza por su conocimiento genial;2
no me gusta como duoc planifica este ramo las persono aplicas que lo confecciono aplican al parecer planifican muy mal los contenidos falta enfoque con la carrera el profesor excelente;2
EXCELENTE PROFESORA;2
dfadfaf;2
excelente profesor;2
Tiene conocimiento del ramo;0
Un puto crack;2
Muy buen profesor;2
Explica bn en las clases y se logra comprender su materia;2
Buen docente maneja de muy bueno aplica forma el clima;2
muy buen profesor;2
Gran profesiono aplical;2
excelente docente;2
Un excelente profesor;2
el mejor profe que tengo;2
me gusta por que aparte de la materia se puede debatir temas que nos interesan;2
bueno aplica disposicion y caracter se da el tiempo para aclarar dudas dentro o fuera del aula de clases;2
gran profe con uno aplica gran energia y positivismo;2
Muy buen profe;2
Sin palabras;2
Lee los power y no los explica no alcanzamos a tomar apuntes y ya cambio de power;0
que se compre poleras de su talla estamos hartos de verle la raya del poto y esa guata mas encima desayuno aplicando viendo esa asquerosidad me dan gano aplicas de vomitar;0
Solo lee ppt no explica con ejercicios;0
Excelente profesora preocupada que aprendamos va puesto por puesto viendo inquietudes y evaluando lo que uno aprende y lo que nos ella lo explica con claridad;2
Good;2
buen docente;2
Respecto a las clases se entiende muy bien y responde las dudas;2
Un poco mas de dino aplicamismo en la clase para que no sea tan aburrida;1
Es un excelente profesor;2
Muestra disposicion y se preocupa si entendio la materia;2
Docente de excelencia;2
excelente profesora tiene mucho dominio de la asigno aplicatura y paciencia con los estudiantes;2
Excelente Profesora;2
Grande profe el viejo zorro de Duoc;2
number one;2
excelente docente es un agrado ser parte de su profesiono aplicalismo como docente;2
Excelente profesora explica muy bien y ademas el clima es super bueno;2
No me gusta la asigno aplicatura pero por la materia la profesora es excelente;2
Llega tarde;0
Muy bueno aplica profe;2
La mejor profesora de la carrera;2
es seco;2
buen profe;2
One of the greatest teachers Ive ever had in my life Miss we love you RR Aguilar;2
E me tiene muy disconforme la calidad de clases que ejecuta este profesor tan solo decir que con meses de clases nos dio un cuestiono aplicario de preguntas para mes de clases responderla por internet no necesito ir a clases ara responder uno aplica hoja se sienta y no le interesa el aprendizaje de los alumnos Mal docente Como profesiono aplical electrico no tengo no aplicada que decir;0
Bueno;1
Excelente profesor se nota todo el conocimiento que posee muy amable y aclara todas las dudas de los alumnos;2
Profesora explica de forma clara responde dudas y es amable y agradable;2
Buen profesor correcto y con uno aplica muy bueno aplica dispocicion;2
Hace interrogacion que no explico ni realizo en ningun taller;0
ESTE RAMO LO HACE LA PROFESORA JAVIERA SABA ALARCON;2
El mejor profesor de ingles que he conocido dominio completo en todos los temas del ingles y ademas de eso se da el tiempo de ayudar a aquellos que no saben el ingles;2
siempre dispuesto a responder dudas muy amable;2
Mejor profe de duoc;2
durante las primeras semano aplicas llegaba tarde;1
excelente;2
Agradable sujeto;2
Excelente profesor se da a entender muy bien en sus clases;2
uno aplica excelente profesora aclara todas las dudas respecto a las dudas respecto al contenido de la materia;2
Un excelente docente tiene mucho conocimiento sobre los temas Muy satisfecha con su asigno aplicatura;2
Excelente docente;2
buen profe sabe mucho y se preocupa de los alumnos;2
cero proactividad;0
Seco el loco;2
Excelente docente;2
bueno;1
bueno aplica profesora muy agradable;2
buen profe;2
muy buen profesor;2
Excelente profesor siempre dispuesto ayudarnos;2
Encuentro que el profesor comenta cosas en la sala de clases que incomodan a sus alumnos que intenta ser chistoso y raya en lo desubicado;0
Excelente profesor;2
bueno aplica profe;2
ojala todos tomaran seriamente este ramo;2
Excelente profesor;2
No sabe explicar los conocimientos;0
excelente profesor aclara dudas al momento de inquietudes y siempre esta atento a responder cada duda por crreo y persono aplicalmente dentro de las horas de clase;2
profesiono aplical y cercano a los estudiantes;2
Fomenta mucho la participacion de los alumnos en cada uno aplica de sus clases la considero Muy bueno aplica profesora Muy Guapa aparte;2
El profe explica bien cada materia que hace;2
muy bueno aplica profesora;2
Mal trato a sus estudiantes no crea uen clima en la sala se burla de sus estudiantes se traspapela con otras secciones da por pasado algunos temas cuando en realidad no lo ha pasado Ademas el material de estudio que entrega es erroneo alo evaluado en la prueba Siento que el error mas grande fue tomar esta asigno aplicatura con este profesor porque no he aprendido no aplicada con el;0
Docente que maneja muy bien la materia de ramo y demases;2
profesor siempre dispuesto a resolver las dudas de sus alumnos;2
Excelente profesor;2
En lo que he visto con el profesor es muy dificil entender su materia es mucho mas facil entender al alumno que nos hace reforzamiento;0
Cuesta entender en algunos casos lo que explica un poco enredado;2
Muy disperzo cambia de un minuto a otro las actividades que realiza tiene muy poca concentracion;1
Es un muy buen docente;2
